display_date,headline,active_topics_normal,active_topics_ignore_future
2009-05-07 06:13:42.105,Corporate News: BMW Posts Loss as Unit Sales Fall 21% ---- By Christoph Rauwald,"Automotive, Earnings losses","Automotive, Challenges, Changes, Earnings losses, Problems"
2008-05-13 06:00:02.506,Business Technology: Russian Tycoon Seeks To Add Phone Muscle --- Metals Star Moves To Land Big Stake In OAO MegaFon ---- By Will Bland and Jacob Gronholt-Pedersen,"Commodities, Control stakes, Currencies/metals, Electronics, Internet, Microchips, Mobile devices, Phone companies, Russia","Commodities, Control stakes, Currencies/metals, Electronics, Internet, Microchips, Mobile devices, Phone companies, Russia"
2009-03-10 06:07:32.675,Corporate News: UAW Says Ford Workers Ratified Concessions --- Cuts Are Similar to What GM Chrysler Seek; Obama Team Visits Detroit Drives a Volt and Tours a Plant ---- By Matthew Dolan,"Automotive, Bush/Obama/Trump","Automotive, Bush/Obama/Trump, Elections"
2009-05-08 06:15:41.751,International Finance: Paths Diverge for Barclays Lloyds --- The Former Expresses Confidence While the Latter Offers a Dimmer View ---- By Sara Schaefer Munoz,International exchanges,International exchanges
2008-03-05 07:22:03.778,Commodities Report: Crude Oil Falls Below $100 as Stronger Dollar Prompts Retreat ---- By Brian Baskin,"Commodities, Currencies/metals, Oil market","Commodities, Currencies/metals"
2008-04-17 06:17:22.083,World News: U.K.'s Brown Pushes Financial Overhaul in U.S. Visit --- More Transparency Fast Loss Disclosure Urged for Wall Street ---- By Alistair MacDonald,,"Accounting, Financial reports"
2009-04-24 06:18:24.455,The Madoff Fraud: Lawsuit Says Ex-Fiserv Unit Is Liable for Madoff Losses ---- By Joe Bel Bruno,"Justice Department, Lawsuits","Accounting, Financial reports, Lawsuits"
2008-07-03 06:07:31.102,World News: South Korean Protests Show Depth of Anger Challenge President ---- By Evan Ramstad and Sungha Park,"Challenges, Problems","Challenges, Problems"
2009-08-10 06:04:21.014,International Finance: Malaysia Pushes Brokerage Firms to Merge --- Seeking Companies Big and Strong Enough to Compete World-Wide; Keeping Up With Singapore ---- By Elffie Chew,Competition,"Challenges, Changes, Competition, International exchanges, M&A, Problems"
2007-10-12 06:12:12.826,Fund Track: Investors Vote With Their Feet at Fidelity --- Despite Solid Returns Funds' Net Assets Decline; Magellan View: Stay Put ---- By Murray Coleman,,
2007-04-09 06:11:01.643,Abreast of the Market: Profits May Be Fickle Oracles This Quarter ---- By E.S. Browning,Earnings losses,"Earnings losses, Problems"
2008-08-05 06:17:22.691,Corporate News: MGA Won't Get Mistrial in Case Over Bratz Doll ---- By Nicholas Casey,Lawsuits,Lawsuits
2009-01-16 07:04:22.971,Corporate News: Rio Tinto Considers Cutting Output Further --- Aluminum Operation Likely to Take Biggest Hit as Prices Drop; Miner Weighs Asset Sales ---- By Robert Guy Matthews,"Commodities, Mining","Challenges, Changes, Commodities, Mining, Problems"
2008-10-06 06:13:32.273,The Two Faces of Lehman's Fall --- Private Talks of Raising Capital Belied Firm's Public Optimism ---- By Carrick Mollenkamp Susanne Craig Jeffrey McCracken and Jon Hilsenrath,Financial crisis,"Bankruptcy, C-suite, Challenges, Changes, Financial crisis, Problems, Recession"
2007-09-25 06:20:13.401,World Stock Markets: Where a 47% IPO Gain Is Ho-Hum --- In Shanghai China Construction Faces Debut Fatigue,China,China
2007-03-09 07:11:02.116,Politics & Economics -- Washington Wire: A Weekly Report From The Wall Street Journal's Capital Bureau ---- By John Harwood,Bush/Obama/Trump,Bush/Obama/Trump
2007-03-12 06:13:42.083,Politics & Economics: U.S. Raid in Iraq May Have Hit Wrong Town --- Disappointing Search for Insurgents Illustrates Pitfalls of Relying on Local Informants ---- By Yochi J. Dreazen,"Iraq, US defense","Challenges, Changes, Iraq, National security, Problems, US defense"
2009-06-16 06:17:22.096,Credit Markets: Investors Shed U.S. Assets --- Risk Hunger Returns as Outflows Total $53.2 Billion ---- By Riva Froymovich and Deborah Lynn Blumberg,Trading activity,Credit cards
2009-02-02 07:06:42.588,Corporate News: Sirius Faces Debt Payment in Test of Its Viability ---- By Sarah McBride,C-suite,"Bank loans, Challenges, Problems"
2007-08-17 06:14:51.057,Leading the News: Whole Foods Wins Ruling on Wild Oats ---- By David Kesmodel,,Competition
2008-01-07 07:11:02.255,More Workers Cut to Part-Time Hours --- Trend Indicates Slowing Demand Weaker Job Market ---- By Kris Maher,Problems,"Challenges, Problems"
2007-12-13 07:12:42.648,Deals & Deal Makers: SEC Seeks Rules Delay For Small Companies ---- By Judith Burns,"News conference, SEC","Changes, SEC, Small business"
2009-05-07 06:18:12.403,In Hard Times Rhode Island's Capital Hopes New Slogan Proves Providential --- Made in Nashville Logo Extols City's Creativity; Peoria (Not That One) Tries to Rebrand Too ---- By Philip Shishkin and Jennifer Levitz,,"Arts, Recession"
2007-12-05 07:16:33.560,Real-Estate Finance: Making Gains in Tough Times --- Deutsche Bank Arm to Invest More in Asia Europe Markets Despite Global Credit Crunch ---- By Sara Seddon Kilbinger Special To The Wall Street Journal,"Challenges, Changes, China, European politics, Financial crisis, International exchanges, Problems, Recession","Challenges, Changes, China, European politics, Financial crisis, International exchanges, Problems, Recession"
2007-04-04 06:11:52.354,Earnings Digest Brief -- Napster Inc.: Sales Outlook Is Raised Due to Subscriber Growth,"Earnings losses, Internet, Revenue growth","Earnings losses, Internet, Revenue growth"
2009-12-10 07:19:41.731,Technology: AOL-Time Warner Divorce Is Official --- Internet Company Begins Trading on NYSE Thursday and Turnaround Effort Moves Into Full Gear ---- By Emily Steel,Internet,"Changes, Internet"
2008-04-04 06:21:12.768,World News: Hermitage Capital Management Runs Into Trouble in Russia --- U.K. Fund Accuses Authorities of Trying To Steal Its Assets ---- By Guy Chazan,"Challenges, Problems, Russia","Challenges, Changes, Lawsuits, Problems, Russia"
2009-05-05 06:00:02.253,Small Stock Focus: Black Is Back for Russell 2000 Up 1.5% for Year ---- By Geoffrey Rogow,"Futures/indices, Small caps","Exchanges/composites, Small caps"
2008-09-29 06:16:53.159,At Reserve Some Cash Is Still Hard To Pull Out ---- By Shefali Anand,Federal Reserve,"Challenges, Changes, Problems"
2007-11-19 07:01:02.769,Deals & Deal Makers: Will China Pacific Be Carlyle s Big Jackpot? ---- By Laura Santini,"China, M&A",China
2007-12-10 07:14:03.882,Leading the News: Republicans Woo Hispanic Voters --- Candidates Forgo Attacks On Each Other Try to Sell Their Immigration Stances ---- By Laura Meckler,Immigration,Immigration
2009-07-29 06:05:31.134,Corporate News: GE Says Efforts on Course to Shrink Finance Unit Post Profit ---- By Paul Glader and Bob Sechler,C-suite,"C-suite, Changes"
2007-06-27 06:01:22.684,PORTALS: Computer Scientists Pull a Tom Sawyer To Finish Grunt Work ---- By Lee Gomes,Internet,Internet
2009-04-14 06:05:22.009,Monday's Markets: Bank Optimism GM Fear Balance Out for Investors ---- By Peter A. McKay,"Automotive, Bear/bull market","Automotive, Bear/bull market, Exchanges/composites"
2008-09-16 06:17:04.303,GE Shares Fall to 5 1/2-Year Low On Worries About Finance Arm ---- By Paul Glader and Serena Ng,C-suite,"C-suite, Challenges, Financial crisis, Problems"
2009-12-24 07:11:12.036,Media & Marketing -- Advertising: For Ad Industry 2010 Promises Scant Relief --- Detroit's Skid Meager Marketing Budgets and Recession Turned 2009 Into a Year Madison Avenue Would Like to Forget ---- By Suzanne Vranica,"Marketing, Recession","Challenges, Marketing, Problems, Recession"
2009-09-22 06:10:52.032,Corporate News: Stanley Ho Adds Macau Casino --- Optimism on Sector's Revival Propels Surge in Hong Kong Gambling Stocks ---- By Jonathan Chang in Macau and Jeffrey Ng in Hong Kong,,Competition
2008-08-14 06:11:14.796,The Conflict in Georgia: Raids Suggest Russia Targeted Energy Pipelines --- Georgian Officials Show Bomb Craters In Uninhabited Area ---- By Guy Chazan,"Environment , Russia","Challenges, Changes, Environment , National security, Oil market, Problems, Russia, US defense"
2009-10-09 06:21:51.158,Media & Marketing: U.K. Regulator Objects to Ticketmaster Deal --- Competition Commission Says Other Companies Could Be Locked Out of Market for Promoting Live Music ---- By Steve McGrath,"Competition, Marketing","Challenges, Changes, Competition, Marketing, Problems"
2009-05-21 06:16:51.552,U.S. News: Flu Immunity Seen in Older Adults --- CDC Says People Who Got Related H1N1 Long Ago May Have Some Protection ---- By Betsy McKay,Environment ,
2007-01-18 07:18:41.662,Leading the News: China IEA Near Pact On Strategic Oil Reserve ---- By Shai Oster and David Winning,China,China
2009-06-01 06:11:22.902,The GM Bankruptcy: Potential Conflicts Abound in Government Role --- U.S. Raises Questions by Wearing Many Hats -- Shareholder Lender and Regulator Among Them -- in Restructured Company ---- By Neil King Jr. Jeffrey McCracken and Mike Spector,"Automotive, Bankruptcy, C-suite, Private/public sector","Automotive, Bankruptcy, Private/public sector, Problems"
2008-04-11 06:12:22.799,THE NUMBERS GUY: Living to 100 May Be Easier Than Counting Those Who've Made It ---- By Carl Bialik,,
2008-11-13 07:15:33.389,Media & Marketing -- Advertising: As Water Sales Dry Up Nestle Pans Soda ---- By Aaron O. Patrick,"Environment , Marketing","Challenges, Changes, Environment , Marketing, Problems"
2009-11-05 07:18:51.797,Clash Looms on Banks --- Dodd's Regulatory Plan at Odds With House Obama Versions ---- By Damian Paletta,Bush/Obama/Trump,Bush/Obama/Trump
2007-06-15 06:19:31.071,Media & Marketing: Probe of IPG May Be Near End ---- By Suzanne Vranica and Kara Scannell,Marketing,Marketing
2007-06-13 06:12:52.160,Marketing & Media: 'Widgets' May Snag More Ads --- Photos Other Content Aided by Web Tools Draw Big Audiences ---- By Vauhini Vara,"Broadcasting, Marketing","Broadcasting, Marketing, Publishing"
2008-01-02 07:16:12.239,Leading the News: New and Independent Iowa Voters May Rule ---- By Amy Schatz and Christopher Cooper,,News conference
2008-04-16 06:06:33.465,World News: Putin Becomes Party Boss Fortifying Political Future --- Move Recalls How Power Was Wielded During Soviet Times ---- By Gregory L. White and Alan Cullison,,
2009-07-30 06:02:21.017,Fund Track: Warning Signs Up For Leveraged ETFs --- Brokerages Respond to Regulator Concerns ---- By Daisy Maxey,Trading activity,
2008-10-15 06:17:53.072,At Domino's Dough Gets Tighter --- Pizza Chain's Profit Disappoints Investors; Credit Facility Is Mired in Lehman's Woes ---- By Paul Ziobro,"Bank loans, Problems","Bank loans, Earnings losses, Problems"
2007-02-15 07:15:32.322,Leading the News: Merck to Pay $2.3 Billion in Tax Case ---- By Jesse Drucker,"Financial reports, Taxes",Taxes
2009-08-13 06:13:41.813,U.S. News: Oil Prices Widen Trade Gap As Imports and Exports Rise ---- By Nicholas Casey,"Currencies/metals, Oil drilling, Oil market","Commodities, Oil market"
2008-08-01 06:09:52.349,International Business: Players Try to End TNK-BP Feud --- Russian Holder BP CEO Meet; Shuffle Possible ---- By Andrew Osborn and Guy Chazan,Russia,"Changes, Competition, International exchanges, Russia"
2009-04-10 06:05:52.820,Currency Trading: Dollar Advances on Euro As Risk Appetite Grows ---- By Don Curren,Currencies/metals,Currencies/metals
2008-09-04 06:03:12.190,World Stock Markets: Bank Energy Shares Lead Selloff in Europe ---- By Sarah Turner,"Environment , Exchanges/composites","Environment , Utilities"
2007-02-12 07:03:11.221,breakingviews.com / Financial Insight: For Ford It Doesn't Add Up --- Investors' Valuation of Stock Is Off When Considering Firm's Liabilities Assets,"Accounting, Automotive, Financial reports","Accounting, Automotive, Financial reports"
2008-01-25 07:03:12.801,Technology & Health: Sun Net Jumps Despite Slim Revenue Rise ---- By Christopher Lawton,"Electronics, Environment , Health insurance, Internet, Microchips, Mobile devices, Pharma","Environment , Health insurance, Internet, Mobile devices"
2007-02-09 07:19:52.356,Politics & Economics: EU Hopes Boeing's Revenue Gains Help Justify Subsidies to Airbus ---- By John W. Miller,"Competition, Economic growth, European politics, Revenue growth","Competition, European politics"
2008-05-27 06:05:03.401,Direction of U.K. Interest Rates in Doubt Amid Mixed Signals ---- By Natasha Brereton,,
2008-07-25 06:14:22.654,Letter From The City / News and Insights From London s Financial Center,International exchanges,International exchanges
2009-10-08 06:16:22.288,Technology: EU Microsoft Near End in Antitrust Tussle --- Kroes Welcomes Software Giant's Move to Give PC Users Choice of Web Browsers ---- By Charles Forelle and Peppi Kiviniemi,,"Competition, Electronics, European politics, Internet, Mobile devices"
2009-08-13 06:17:21.161,World News: Fighting Fraud in Afghanistan's Elections --- Commission Chief Struggles to Keep Process Honest; 'You Do Your Best Given the Circumstances' ---- By Anand Gopal,Elections,"Challenges, Changes, Elections, Problems"
2009-08-20 06:01:41.859,Credit Markets: Banks Split on Yield Forecasts --- Median for 10-Year Treasury Note Is 3.6% at Year End ---- By Min Zeng,"Bond yields, Treasury bonds","Bond yields, Treasury bonds"
2007-11-16 07:20:03.178,Earnings Digest -- Retail: J.C. Penney Cuts Outlook --- Retail Woes Mount As Holidays Near; Kohl's Net Falls 14% ---- By James Covert,"Earnings losses, Problems, Retail","Challenges, Earnings losses, Problems, Retail"
2009-04-07 06:03:12.690,Currency Trading: Dollar Turns Up From Lows --- Risk Appetite Subsides as U.S. Stock Market Declines ---- By Riva Froymovich,Currencies/metals,Currencies/metals
2009-06-30 06:01:02.239,Denny's Tries Night-Owl Vibe --- Courting Rockers Chain Seeks Post-Party Young Adults ---- By Julie Jargon,Retail,Competition
2008-02-29 07:18:04.169,Dollar's Dive Deepens as Oil Soars --- Commodity Prices Surge As Investors Seek a Haven ---- By Tom Lauricella and Ann Davis,"Commodities, Oil market","Commodities, Oil market"
2008-08-29 06:02:52.565,Media & Marketing -- Advertising: Aston Martin Markets Coupe as Scarce Resource --- New Line Will Boast Only 77 Vehicles; Yours for $1.8 Million ---- By Edward Taylor,"Automotive, Marketing","Automotive, Marketing"
2008-01-31 07:01:54.401,Technology Journal: SAP Forecasts Steady Growth --- CEO Is Confident Despite Economy; Profit Declines 6% ---- By Leila Abboud and Archibald Preuschat,"C-suite, Earnings losses, Economic growth, Mid-level executives","C-suite, Earnings losses, Economic growth"
2007-10-02 06:19:32.877,Earnings Digest -- Retail: Walgreen Earnings Fall Spurs Concern in Sector --- A Lack of Big Drugs Coming in Generic Form Contributes to Worry ---- By James Covert,"Earnings losses, Retail","Earnings losses, Problems, Retail"
2009-02-12 07:17:23.860,World News: Netanyahu and Livni Vie to Form a Ruling Coalition in Israel ---- By Charles Levinson,,
2009-09-01 06:07:51.129,Fund Track: Small-Cap Funds' Outsize Gains Over? --- This Year's Surge Is Unlikely to Continue ---- By Sam Mamudi,Small caps,Small caps
2008-10-21 06:18:52.374,The Financial Crisis: Global Fallout: German Exporters Feel the Financial Squeeze --- Heavily Dependent on Customers in the EU and U.S. Companies Trim Profit Forecasts and Scale Back Capital Spending ---- By Mike Esterl,"Financial crisis, Germany","Challenges, Financial crisis, Germany, Problems, Recession"
2008-07-18 06:26:02.050,Corporate News: Starbucks Reveals Locations of Stores to Be Closed ---- By Janet Adamy,"C-suite, Changes",Changes
2007-08-10 06:13:12.822,Politics & Economics -- Washington Wire: A Special Weekly Report From The Wall Street Journal's Capital Bureau ---- By Jackie Calmes,"Bush/Obama/Trump, Clintons",News conference
2008-10-16 06:20:13.796,Corporate News: Coke Overcomes Weak U.S. Results --- Beverage Giant Posts Better-Than-Expected Profit as International Sales Continue to Drive Growth ---- By Betsy McKay and Anjali Cordeiro,"C-suite, Economic growth, Mid-level executives, Revenue growth",Financial reports
2009-09-29 06:17:11.792,Deals & Deal Makers: Foes Take On 'Uptick' Rule for Stocks ---- By Scott Patterson,,
2007-05-17 06:14:31.756,Politics & Economics: Candidates Disclose Big Paychecks --- Millions for Giuliani; Hedge Fund Paid Edwards $479 000 ---- By Christopher Cooper,Executive pay,"C-suite, Executive pay"
2007-11-23 07:10:02.120,Latest Cut in DVD-Player Duel: Prices --- Deals Rev Up the Blu-ray HD DVD Battle ---- By Yukari Iwatani Kane and Sarah Mcbride,"Competition, Electronics, Product prices","Arts, Changes, Competition, Product prices"
2008-12-03 07:02:02.442,Crisis on Wall Street: Fidelity Will Open Funds To Offset Redemptions ---- By Jon Kamp,Financial crisis,"Challenges, Changes, Financial crisis, Problems"
2008-03-31 06:05:02.614,breakingviews.com / Financial Insight: Sovereign Funds Take Heat --- Critics at Home Dismayed By Some Investment Returns On Shopping Trips Abroad,,"Challenges, Changes, Problems"
2009-05-27 06:13:21.479,Nostalgia Ain't What It Used to Be As France Unearths Soviet Statues --- An Archaeologist Digs Up a Mixed Message Of Workers' Heyday -- and of Stalinism ---- By David Gauthier-Villars,,Environment 
2009-04-24 06:21:44.654,Deals & Deal Makers: AmEx's Customers Leave Cards at Home --- Net Tumbles 56% as Slumping Economy Hits High-End Consumers; More Job Cuts Planned ---- By Aparajita Saha-Bubna,"Credit cards, Earnings losses, Economic growth, Environment , Problems, Recession","Challenges, Credit cards, Earnings losses, Economic growth, Problems, Recession"
2009-03-10 06:17:12.251,U.S. News: Ruling Limits Scope of Voting Act --- Supreme Court Decision Could Make It Harder for Some Minority Candidates to Win ---- By Jess Bravin,"Justice Department, Police/crime",
2009-02-06 07:14:21.663,Credit Markets: Treasury Prices Gain Slightly --- Jobless Data Supply Worries Keep Gains in Check ---- By Deborah Lynn Blumberg,Treasury bonds,Treasury bonds
2007-11-19 04:50:00.151,Eyes on the Road: What Will the Car of the Future Look Like? --- Sen. Clinton's Push to Double Autos' Average Fuel Economy Is Possible but Complicated ---- By Joseph B. White,"Automotive, Clintons, Elections","Automotive, Clintons, Elections"
2007-09-11 06:12:02.967,Media & Marketing -- Advertising: Coupons Gain New Market on Cellphones ---- By Stephanie Kang,"Marketing, Mobile devices",Marketing
2009-11-18 07:19:12.265,Smarter Shoppers vs. Smarter Sellers --- Results Improve at Saks Target but Retailers Prepare for Holiday Bargain-Hunting Battle ---- By Ann Zimmerman Vanessa O'Connell and Elizabeth Holmes,"Competition, Retail","Competition, Retail"
2008-09-17 06:24:52.208,Lehman Workers Score Reprieve --- Barclays's President Agrees to Buy Bulk Of the Prime Assets Less the Risky Ones ---- By Randall Smith Diya Gullapalli and Jeffrey McCracken,"Acquired investment banks, C-suite, Investment banking, M&A","Acquired investment banks, Investment banking, M&A"
2008-10-30 06:04:12.641,Currents: Boots on the Ground or Weapons in the Sky? --- Budget Crunch Forces U.S. Military to Choose Which Form of Defense to Pursue; This-War-Itis vs. Next-War-Itis ---- By August Cole and Yochi J. Dreazen,"National security, US defense","Challenges, National security, Problems, US defense"
2009-03-19 06:19:22.658,The AIG Controversy: Critics Got Donations From Insurer --- Obama and Dodd Raised Money From the Firm for Presidential Campaigns ---- By Brody Mullins and T.W. Farnam,Bush/Obama/Trump,Bush/Obama/Trump
2007-12-06 07:17:52.006,Wednesday's Markets: Stocks Rise on Hopeful News About Credit Crisis Rates ---- By Peter A. McKay and Carolyn Cui,"Credit ratings, Financial crisis","Credit ratings, Financial crisis"
2008-06-04 06:06:21.129,Deals & Deal Makers: Intel Unit Still Invests With Global Outlook ---- By Rebecca Buckman,Investment banking,Investment banking
2009-09-11 06:13:02.985,International Finance: Ex-Banker Guilty of Insider Deals --- Hong Kong Judge Also Criticizes Morgan Stanley ---- By Jonathan Cheng,International exchanges,"C-suite, International exchanges, Lawsuits"
2007-10-05 06:18:12.712,Prosecutors Begin a Probe Of Bear Funds --- Fallout Continues From Mortgage Vehicles That Lost $1.6 Billion ---- By Paul Davies Kate Kelly and David Enrich,"Justice Department, Mortgages, Police/crime","Bear/bull market, Justice Department, Mortgages, Police/crime, Problems"
2009-04-30 06:08:43.898,Currents -- Law Journal -- There Goes the Neighborhood: A Fight Over Defining 'Blight' ---- By Nathan Koppel,Publishing,Publishing
2007-09-21 06:11:42.054,Business Brief -- American Home Mortgage: Loan Servicer Settles Dispute With Ginnie Mae,"Bank loans, Savings & loans",Bank loans
2007-01-03 07:03:26.968,Media & Marketing -- Advertising: Madison Avenue Sifts Through 'Clutter' --- Ad Trends Veer Toward Fewer TV Commercials Greater Use of Internet ---- By Brian Steinberg and Suzanne Vranica,"Internet, Marketing","Internet, Marketing"
2009-07-30 06:15:21.822,White House 'Beer Summit' Becomes Something of a Brouhaha --- U.S. Brewers Say Meeting With Professor Policeman Should Be All-American Affair ---- By Robert Tomsho,Bush/Obama/Trump,Bush/Obama/Trump
2008-09-08 06:05:22.162,Managing -- Theory & Practice: The 'Same Ol' Is Actually Good Enough for Many --- Usual Techniques Prove Successful For Productivity ---- By Scott Thurm,,
2009-03-11 06:20:32.660,U.S. News: Fed Considers Its Next Actions --- Amid Unrelenting Strains Options Include Purchasing Treasurys Fannie-Freddie Debt ---- By Jon Hilsenrath,"Federal Reserve, Options/VIX, Treasury bonds","Federal Reserve, Options/VIX, Treasury bonds"
2007-09-27 06:06:02.735,Politics & Economics: Senate Urges Sharing Of Power Within Iraq ---- By David Rogers,Iraq,"Challenges, Iraq, Problems"
2008-08-29 06:04:12.644,Earnings Digest: Ahold and Casino Report Large Drops in Net Profit ---- By Stefan Kloet,"Accounting, Earnings losses, Financial reports","Accounting, Earnings losses, Financial reports"
2009-12-22 07:04:52.530,Business Technology: China Telecom to Offer BlackBerry on Mainland in Bid to Gain Ground ---- By Lorraine Luk,China,China
2008-03-24 06:01:01.887,Fund Track: Bug Control: Gold Skeptics Use ETNs --- Notes Offer Ability To Go Short Take Leveraged Position ---- By John Spence,"Commodities, Currencies/metals, Options/VIX","Commodities, Currencies/metals, Options/VIX, Trading activity"
